#reaction_ID	substrate_IDs(atom)	product_IDs(atom)	reversibility
#Transport
glc_up	Glc.ex(abcdef)	G6P(abcdef)	0
CO2up	CO2in(a)	CO2(a)	0
ac_out	Ac(ab)	Acetate(ab)	0
co2_out	CO2(a)	CO2out(a)	0
G6P_bm	G6P(abcdef)	G6Pbm(abcdef)	0
PGA_bm	PGA(abc)	PGAbm(abc)	0
P5P_bm	P5P(abcde)	P5Pbm(abcde)	0
PEP_bm	PEP(abc)	PEPbm(abc)	0
PYR_bm	Pyr(abc)	Pyrbm(abc)	0
OGA_bm	AKG(abcde)	AKGbm(abcde)	0
OAA_bm	OAA(abcd)	OAAbm(abcd)	0
E4P_bm	E4P(abcd)	E4Pbm(abcd)	0
#Glycolysis
pgi	G6P(abcdef)	F6P(abcdef)	1
pfk	F6P(abcdef)	FBP(abcdef)	0
fba	FBP(abcdef)	DHAP(cba)+GAP(def)	0
tpi	DHAP(abc)	GAP(abc)	1
gapdh	GAP(abc)	BPG(abc)	0
bpg	BPG(abc)	PGA(abc)	0
eno	PGA(abc)	PEP(abc)	0
pyk	PEP(abc)	Pyr(abc)	0
#Pentose phosphate pathway
zwf	G6P(abcdef)	PG6(abcdef)	0
gnd	PG6(abcdef)	P5P(bcdef)+CO2(a)	0
TK1	P5P(abcde)+P5P(fghij)	GAP(cde)+S7P(abfghij)	1
TK2	P5P(abcde)+E4P(fghi)	GAP(cde)+F6P(abfghi)	1
TA	S7P(abcdefg)+GAP(hij)	E4P(defg)+F6P(abchij)	1
#Entner-Doudoroff pathway
edp1	PG6(abcdef)	KDPG(abcdef)	0
edp2	KDPG(abcdef)	Pyr(abc)+GAP(def)	0
#TCAcycle
pdh	Pyr(abc)	AcCoA(bc)+CO2(a)	0
citl	OAA(cdef)+AcCoA(ab)	Cit(fedcba)	0
idh	Cit(abcdef)	AKG(abcef)+CO2(d)	1
sdh	AKG(abcde)	"Suc(abcd	dcba)+CO2(a)"	0
fum	"Suc(abcd	dcba)"	Mal(abcd)	1
mdh	Mal(abcd)	OAA(abcd)	1
#Glyoxylate shunt
gs1	Cit(abcdef)	"Glx(ab)+Suc(dcef	fecd)"	0
gs2	Glx(ab)+AcCoA(cd)	Mal(abcd)	0
#Amphibolic reactions
mae	Mal(abcd)	Pyr(abc)+CO2(d)	0
pyc	PEP(abc)+CO2(d)	OAA(abcd)	0
pck	OAA(abcd)	PEP(abc)+CO2(d)	0
#Acetic acid formation
accoa_ac	AcCoA(ab)	Ac(ab)	0
